item,name,authorization_notice_id,authorized_announcement_date,filing_id,filing_date,patentee,designer,address,Int.Cl.
6388,具有烟雾报警功能的吸顶喇叭,CN209089167U,2019.07.09,2.02E+12,2018.12.19,嘉兴市迪贝斯电声有限公司,顾火根,314000浙江省嘉兴市南湖区周安路1515号,H04R1/02(2006.01)I
6389,船用喇叭,CN209089222U,2019.07.09,2.02E+12,2018.12.19,嘉兴市迪贝斯电声有限公司,顾火根,314000浙江省嘉兴市南湖区周安路1515号,H04R9/02(2006.01)I;??H04R9/06(2006.01)I
6390,新能源汽车布线卡扣,CN209088441U,2019.07.09,2.02E+12,2018.12.19,四川城市职业学院,王正科;??陈天伟,610000四川省成都市龙泉驿区洪河大道中路351号,H02G3/02(2006.01)I
6391,一种具有除尘功能的计算机箱,CN209086833U,2019.07.09,2.02E+12,2018.12.11,辽宁建筑职业学院,冯永明,111010辽宁省辽阳市白塔区青年大街24号,G06F1/18(2006.01)I;
6392,一种小型化宽带频率源发生器,CN209088925U,2019.07.09,2.02E+12,2018.12.20,成都爱科特科技发展有限公司,韩周安;,610000四川省成都市青羊区敬业路218号28栋,H03L7/16(2006.01)I
6393,一种电容器重载连接器对接装置,CN209088160U,2019.07.09,2.02E+12,2018.12.19,深圳市鸿铭自动化设备有限公司,李英华,518000广东省深圳市宝安区福海街道桥头社区万延工业城三栋一层,H01R13/53(2006.01)I;
6394,旋转开关,CN209087476U,2019.07.09,2.02E+12,2018.12.20,易事特集团股份有限公司,赵探探;??孔铭;??王雪帆,523808广东省东莞市松山湖科技产业园区工业北路6号,H01C10/32(2006.01)I;
6395,一种低速同步电动机转子磁极防松装置,CN209088662U,2019.07.09,2.02E+12,2018.12.20,卧龙电气南阳防爆集团股份有限公司;,苗青豪;,473008河南省南阳市独山大道1801号,H02K1/28(2006.01)I
6396,用于快速点数的治具,CN209087794U,2019.07.09,2.02E+12,2018.12.20,紫光宏茂微电子（上海）有限公司,柏铭;??蔡晓峰,201700上海市青浦区工业园区崧泽大道9688号,H01L21/673(2006.01)I
6397,绝缘件、设有该绝缘件的电子器件及其组合件,CN209088120U,2019.07.09,2.02E+12,2018.12.20,苏州英威腾电力电子有限公司,王秀林,215000江苏省苏州市高新区科技城昆仑山路1号,H01R13/40(2006.01)I;??H01R9/28(2006.01)I
6398,一种高分辨率连续变焦投影镜头,CN209086534U,2019.07.09,2.02E+12,2018.12.19,武汉跨元光电有限公司,李升辉;??彭军;??陈琦,430074湖北省武汉市东湖新技术开发区光谷创业街特1号1楼All-633室,G02B13/00(2006.01)I;??G03B21/14(2006.01)I
6399,一种电气化铁道专用PLC装配柜,CN209088314U,2019.07.09,2.02E+12,2018.12.19,贾志俊,贾志俊;??张楠;??张林林,271104山东省莱芜市钢城区莱芜钢铁集团运输部,H02B1/30(2006.01)I;??H02B1/28(2006.01)I  
6400,一种自动识别FM和DMR信号的接收机,CN209088996U,2019.07.09,2.02E+12,2018.12.19,深圳市楷盟无线通信有限公司,田智生,518000广东省深圳市宝安区新安街道文汇社区前进一路269号冠利达大厦1栋720,H04L27/00(2006.01)I;
6401,一种厚度薄充电快能耗低的8Pin端子,CN209088111U,2019.07.09,2.02E+12,2018.12.20,何华平,何华平,523000广东省东莞市长安镇涌头社区涌盛路豪丰工业园A栋1楼,H01R13/02(2006.01)I;??H01R12/57(2011.01)I
6402,一种孔壁拉伸强度试验用夹具及检测设备,CN209085922U,2019.07.09,2.02E+12,2018.12.20,四川科力特硬质合金股份有限公司,杨玉明;??田元勇,618000四川省德阳市广汉市经济开发区珠海路西二段,G01M13/00(2019.01)I;??G01N3/04(2006.01)I
